Title,Price,Description,Condition,GenreNew,
Official SAT Study Guide Math 2,6,CollegeBoard The Official SAT Subject Test Study Guide Math Level 2 like new,like new,Education & Teaching,
Bentley Service & Repair Manual - E46 BMW 3 Series (1999-2005),40,"Sold my 3 Series E46 BMW, so no longer need the excellent Bentley repair manual.  Priced well under market value.  Book is very helpful and has only been used a few times.

Here it is on Amazon for $100 + Tax:

http://www.amazon.com/Bentley-Paper-Repair-Manual-Series/dp/B0044A3QBC",good,Engineering & Transportation,
Wild Flowers of the Pacifc Northwest - Lewis J. Clark,15,"Wild Flowers of the Pacifc Northwest - Lewis J. Clark

Hardcover
Good condition
604 pages",good,"Arts, Crafts & Photography",
Aviation and Aircraft Mechanic Books,1,"Sky Ranch Engineering Manual by John Schwaner - Second Edtion - $20

Tony Bingelis On Engines - $30

Engine Installation Methods by Tony Bingelis - $25

Aircraft Construction Methods by Tony Bingelis - $25


If ad is still up the books are available.









Mechanic EEA Aviation Aircraft",good,Engineering & Transportation,
The Shooter's Workbench,10,"Good condition, tight binding, no dust jacket.

$10

Whether novice or expert at handcrafting, the shooting sportsman will find here everything needed, including the tools required, materials called for, and step-by-step instructions and illustrations that will tell how to go about completing the often indispensable and even unique projects that will ultimately save money and add to the convenience and enjoyment of this demanding yet exhilarating pastime.",good,Engineering & Transportation,
Hornady Handbook Of Cartridge Reloading Volumes 1 & 2 Fourth Edition,50,"Hornady Handbook Of Cartridge Reloading Volumes 1 & 2 Fourth Edition

Books are in like new condition, tight binding, hardback covers.

$50",like new,Education & Teaching,
Airplane Aircraft Aviation Plane. Profile Publications Pamphlets,2,"Airplane Aircraft Aviation Plane. Profile Publications Pamphlets. As pictured. $2 each, or $40 for all 24.
I have more pamphlets than pictured. Contact me for specific planes.

Ted Bellevue",excellent,Education & Teaching,
Boat Electric Outboard motor Factory Repair Manual. Johnson. Evinrude,20,"Electric Outboards. To 1987.  $20.

Ted Bellevue",excellent,Engineering & Transportation,
Ozu by Donald Richie. U of CA Press. 1977 Paperback. 296 pages,10,"Ozu by Donald Richie. U of CA Press. 1977 Paperback. 296 pages.  Very good condition.  $10.
In the book Ozu, Donald Richie examines Japanese Film director Yasujiro Ozu’s films by following the common steps for constructing a film: the script, shooting, and editing.

Ted Bellevue.",excellent,Education & Teaching,
3 Star Trek series  books for trading for other  books in series,0,"Hi thanks for looking , here are 3 Star Trek series books for trading. 

all in  good or better condition,  all are in paperback.

tittles are : Star Trek Voyager #15 Echoes, 
Star Trek : Prime Directive, Star Trek Strangers from the Sky. 

Looking to trade for other star trek series books. trades must be in very good condition . 
looking to trade for possibly some of the newer paperback books in the star trek series,
meet and trade in person only,  Thanx,",good,Fiction,
3 Forgotten Realms paperback boosk for sale,45,"This posting is for 3 Forgotten Realms paperback books for sale. 

all 3 books are in very good condition, with few  light spine creases,  lil if any corner wear, no marks or writing in books, 

Tittles are : The Legend of Drizzt Trilogy : Book 1 Homeland, Book 2 Exile,  Book 3 SoJourn.

selling all 3 together for $45. no spitting up, 
serious replies only, Cash only please, 
meet an buy in person!",excellent,Fiction,
great paperback books by Dan Brown for sale great condition,12,"This posting is for  great paperback books by Dan Brown for sale great condition 

all  books are in paperback and are in very good to like new condition or better, no marks or writing in books, all books are by Dan Brown 

tittles are : Angels &; Demons, The Da vinci Code,

selling all  books for $12
serious replies only, Cash only please thanx when buying,  open to possible trades  
meet an buy in person only!",like new,Fiction,
Terry Goodkind paperback books for sale,25,"This posting is for a set of Terry Goodkind paperback books,  

all books are in paperback and are very good to better condition. 

Selling all for $25 or open to trading for other Scifi or fantasy paperback books. 

serious replies only, Cash only please thanx!",good,Fiction,
10 Tom Clancy hard cover books,4,"10 Tom Clancy hard cover books all with covers.
The Bear and The Dragon
Clear and Present Danger
Dead or Alive
Debt of Honor
Executive Orders
Rainbow Six
Red Storm Rising
The Sum of All Fears
Patriot Games
Without Remorse

$4 each

All between $20 and $30 cover price and in great shape.
Make on offer
Delivery available in Central Kitsap",excellent,Fiction,
NFPA 70 electrical code book,15,Like new condition NEC softbound code book. Very similar to the newer edition but at less than 1/4 the cost.,like new,Education & Teaching,
The DK Children's Illustrated Encyclopedia Hard Cover New,25,"The DK Children's Illustrated Encyclopedia. Printed in the USA
Hard cover,  644 pages",new,Education & Teaching,
"Brand new Science Books - Universe/Cosmos/Time/Brain by Hawkin, etc",0,"by Stephen Hawking
    A Brief History of Time: the Updated and Expanded Tenth Anniversary Edition - $32
    Black Holes and Baby Universes - New York Times Bestsellers - $15

by Brian Greene (Paperback) National Bestseller:
    The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory -  $15
    The Fabric of the Cosmos: Space, Time, and the Texture of Reality - $15

by Paul J. Steinhardt and Neil Turok
    Endless Universe : Beyond the Big Bang -- Rewriting Cosmic History - $22

by John J. Stachel
    Einstein's Miraculous Year : Five Papers That Changed the Face of Physics - $40

by Allen Bragdon and David Gamon, Ph.D. 
	Building Left-Brain Power: Conditioning exercises to develop language, math and other uniquely human skills (Hard Cover) - $28",new,Education & Teaching,
The World's Greatest Architecture Past and Present,30,"The World's Greatest Architecture Past and Present by D.M.FIELD
Hard cover, 447 pages",new,"Arts, Crafts & Photography",
Accent on Achievement Combined Percussion & Clarinet textbooks,22,"Accent on Achievement Percussion & Clarinet textbooks

Accent on Achievement Combined Percussion Book 1 & 2 with CDs - brand new $22
Accent on Achievement Bb Clarinet book 2 & 3 with CD - brand new $15
Accent on Achievement Bb Clarinet book 1 - lightly used, no mark anywhere $6.5",new,Education & Teaching,
The Misfits of Channel 10,19,"This is a book inspired by the author’s experiences growing up in the 60’s. 

Did you have a troubled childhood or a hard time dealing with the changes of adolescence? Were you perpetually on the outside looking in? Did you turn toward Citizen Band or Amateur Radio? Was Lafayette Radio Electronics, Heath-kit or Allied Radio (Knight-kit) an important part of your adolescence? Do you ever think back to the days of your youth when life was simpler?  

It includes  large description & diagrams of Lafayette Radio Electronics Syosset warehouse store and catalogs. It also describes  the actions that led to its demise. Do you know what yearly Lafayette catalog was never published?

This is a story about loners that yearn to belong and learn to create a common bond with others like themselves as voices over the Citizen Band radio.

Join me for a nostalgic look at the awkwardness of coming of age in the 60’s and not being one of the “in crowd” in “The Misfits of Channel 10.” 

PAYPAL accepted  Shipping available for $3.00

Dedications & signed copy available",new,Fiction,
Two Harry Potter Hardcovers,15,The first two books. I believe these are first printings of the book club editions. Local cash sale only.,good,Fiction,
1st editions,20,"Florence Nightingale 1960.   10
Crazy Horse Autographed. 25
The others 1978. 10
The president is missing. 10
The family medical guide 10",good,Fiction,
VINTAGE TIME LIFE WWII BOOKS,95,1970's TIME LIFE HARD-COVER WWII BOOKS -- 39 IN ALL!  LIKE-NEW CONDITION!!  $95.00 FOR ALL/OBO.  THANKS!,like new,History,
2 CogAT grade 5 level 11 practice books,30,"2 barely used CogAt books. Grade 5, level 11, forms 7 & 8. No markings in the books. Both are a full length practice test and come with answer keys with explanations.",like new,Education & Teaching,
Unicorn - Children’s Books,10,"Unicorn School + The Secret Unicorn + A Kona Story Unicorn Children’s Books. Buy as a bundle for $10. Comes from a smoke and pet free home. Cash only, price firm.",excellent,Children's Books,
Analog science fact - science fiction lot,15,Vintage science fiction digests mostly from 1970's. See images for dates. Some doubles. $15 takes them all. Local cash sale only.,good,Fiction,
Dennis the Menace by Hank Ketcham 1952 First Edition,150,"This vintage collector's book by Hank Ketcham is a 1952 first edition of Dennis the Menace.  The pages are complete. unmarked, with no tears, folded corners or frayed edges.   The covers are complete and in very good condition with one bumped edge.  The spine is detached but can be glued back on.  Overall, it is in excellent condition.",excellent,Fiction,
Heidi  by Johana Spyri  copyright 1901,60,"This is a 1901 first edition of Heidi by Johana Spyri.  It has 367 pages which are complete, untorn, unmarked with only three turned down corners and are in excellent condition. The covers and spine are in excellent condition with only slight worn edges and one bumped corner.  The spine is complete with light bumping on the top and bottom. This is the version that has no pictures except on the front cover.",excellent,Fiction,
"Judy Garland, The World's Greatest Entertainer",35,"This great book of the life and career of Judy Garland is 256 pages long.  It is a hardback with dust cover. The pages are complete with no turned down corners, marks or tears.  It is 11"" by 9"" and both the book and dust cover are in like new condition.",like new,Biographies & Memoirs,
Jewels of the Lotus,100,"Jewels of the Lotus, Tibetan Gemstone Oracle, Healing, Exploration, Insight is authored by Dawn Silver and Pat Gullett.  It is a spiral bound book and a set of colored pictures.  It was published in 1999, 2002 by Dawn Silver through Bluestar Communications.  It is 9"" long by 6"" wide and is contained in it's own box.  It is in like new condition.",like new,Religion & Spirituality,
Reading Level 4th - 8th - Collection of Books,30,"A collection of fourteen books ranging from fourth to eighth grade reading level. All in excellent condition. Buy as a bundle for $30. Comes from a pet and smoke free home. Cash only, price firm.",excellent,Education & Teaching,
Reading Level 4th - 8th - Collection of Books,30,"A collection of fourteen books ranging from fourth to eighth grade reading level. All in excellent condition. Buy as a bundle for $30. Comes from a pet and smoke free home. Cash only, price firm.",excellent,Education & Teaching,
Magic School Bus + Animal Children’s Books,26,"A collection of sixteen children’s books. Buy as a bundle for $26. All in excellent condition. Comes from a pet and smoke free home. Cash only, price firm.",excellent,Children's Books,
Collection of classic books - RL 4th - 8th,25,"A collection of ten classic books ranging from RL 4th to 8th grade. (Roald Dahl, Percy Jackson, Indian and the Cupboard + More). Buy as a bundle for $25. All in excellent to like new condition. Comes from a pet and smoke free home. Cash only, price firm.",excellent,Education & Teaching,
Book Nook Kit,50,"Experienced woodworker or puzzle person.  Two (2) book nook kits, one a lighted alley, wires and lights included, no batteries.  One kit not lighted.  These are kits only.  Completed book nooks sell for $250.00 and up.  Instructions are on line.  Hand cut.  The picture is a facsimilie.  These kits are 50 EACH.  $100.00 for both kits.  I can mail them to you if you'd like",new,"Arts, Crafts & Photography",
Book Nook Kit,50,"Experienced woodworker or puzzle person.  Two (2) book nook kits, one a lighted alley, wires and lights included, no batteries.  One kit not lighted.  These are kits only.  Completed book nooks sell for $250.00 and up.  Instructions are on line.  Hand cut.  The picture is a facsimilie.  These kits are 50 EACH.  $100.00 for both kits.  I can mail them to you if you'd like",new,"Arts, Crafts & Photography",
MAD Paperback Books,50,59 MAD paperback books ranging from 1959-1987.  Some could be classics?  Take ALL for $50.00.   Condition fair to good.,good,Children's Books,
military/war history,20,13 books representing different aspects of combat,like new,History,
25 Korean story books,50,"$50/25books
in great condition
Bellevue, cash only, pick up only",excellent,Fiction,
1996 Thomas the Tank Engine The Complete Story Collection book,12,"This is a beautifully illustrated Thomas the Tank Engine story collection book, which was published in 1996. 
From a no-smoking and no pet house, no rips and is clean and ready to enjoy.
Cash only please.
I can meet up in the North Seattle area.
Thanks and have a super day!",like new,Children's Books,
6 fantastic Pete the Cat kids books,20,"This is a great collection of Pete the Cat books, 2 large paperback, and 3 medium, and 1 smaller. They are in fantastic condition, with only the Bed Time Blues showing any wear.
From a no-smoking, no pet house, clean books, no rips or writing inside.
Cash only please.
I can meet up in North Seattle.
Thanks and have a great day!",like new,Children's Books,
10 Wonderful Curious George kids books,50,"This is a wonderful and gently used collection of 10 Curious George books!
- Curious George's Neighborhood Lift-a-Flap books (no flaps torn) (hardback)
- Where is Curious George? A look and find book (hardback)
- The Complete Adventures of Curious George (hardback)
- Curious George and Friends collection (hardback)
- New Adventures of Curious George collection (hardback)
- Merry Christmas Curious George (paperback)
- Curious George Takes a Job (paperback)
- Curious George Learns the Alphabet (paperback)
- Curious George Flies a Kite (hardback)
- Curious George and the Dump Truck (hardback)
These are all in great shape, no rips, no stains, no writing and all from a no-smoke, no pet house.
Cash only please.
I can meet up in the Northgate or Greenwood area.
Thanks and have a super day!",excellent,Children's Books,
Laser Sight and Night Vision Devices By Duncan Long,39,"Vintage (1993) Laser Sight and Night Vision Devices By Duncan Long, New and Sealed, $39.00.",new,"Arts, Crafts & Photography",
10 Wonderful Curious George kids books,50,"This is a wonderful and gently used collection of 10 Curious George books!
- Curious George's Neighborhood Lift-a-Flap books (no flaps torn) (hardback)
- Where is Curious George? A look and find book (hardback)
- The Complete Adventures of Curious George (hardback)
- Curious George and Friends collection (hardback)
- New Adventures of Curious George collection (hardback)
- Merry Christmas Curious George (paperback)
- Curious George Takes a Job (paperback)
- Curious George Learns the Alphabet (paperback)
- Curious George Flies a Kite (hardback)
- Curious George and the Dump Truck (hardback)
These are all in great shape, no rips, no stains, no writing and all from a no-smoke, no pet house.
Cash only please.
I can meet up in the Northgate or Greenwood area.
Thanks and have a super day!",excellent,Children's Books,
Laser Sight and Night Vision Devices By Duncan Long,39,"Vintage (1993) Laser Sight and Night Vision Devices By Duncan Long, New and Sealed, $39.00.",new,"Arts, Crafts & Photography",
The Type Vll U-Boat By David Westwood,50,"Vintage (03-85) The Type VII U-Boat By David Westwood, Hardcover, New, $50.00",new,"Arts, Crafts & Photography",
Two (New Vanguard) WWII German Tanks Books,40,"Two (New Vanguard) WWII German Tanks Books, Paperback, New, $40.00 (2).

1. Tiger 1 Heavy Tank (1942-45), September 30, 1993, New, $20.00

2. King Tiger Heavy Tank (1942-45), January 28, 1993, New, $20.00

Both By Tom Jentz, Hilary Doyle and Peter Sarson.",new,History,
A Brief History In Time by Stephan Hawking,11,"“A brand new book”

#1 NEW YORK TIMES BESTSELLER

Product information
ASIN: 0553380168
Publisher: Bantam; 10th Anniversary edition (September 1, 1998)
Language: English
Paperback: 212 pages
ISBN-10: 9780553380163
ISBN-13: 978-0553380163
Lexile measure: 1290L
Item Weight: 10.4 ounces
Dimensions: 5.96 x 0.63 x 9 inches",new,Education & Teaching,
"Books, books, books",1,"Books of all genres for all ages, kids, school, novels, instruction, art, photo., sewing, toddler, fiction, non-fiction, etc. This pic of a few books do not even begin to show the hundreds of volumes I have to sell. Please don't email or text-no computer, but call  show contact info
. Thank you; I'm downsizing. Thousands of other items for sale, and discounts for multiple purchases. (Coffee table shown is also for sale.) Visit Issy 98027 today!",like new,Fiction,
Cuisinart CLASSROOM COOKBOOK,15,"This spiral bound book is perfect for the novice to advanced user of your wonderful Cuisinart Food Processor.  Recipes, techniques, and clear instructions to maximize your use of your Cuisinart.  You will be pleasantly surprised at the versatility of your food processor that you may never have thought of.  Precise instructions, great illustrations, wonderful recipes, and superb suggestions.  New this book sells for over $86.",like new,"Cookbooks, Food & Wine",
XLVIII Champions Seahawks - WE ARE 12 - 160 pg. Hard copy book *** EUC,20,"We Are 12 is the definitive keepsake coffee table book that every fan will treasure from this dream season. Russell Wilson's elusiveness, Marshawn Lynch's Beast Mode power, the intimidating defense of the Legion of Boom, the loud and proud 12th Man is all captured in the pages of this one-of-a-kind commemorative book. More than 200 photographs and original essays by Seahawks insiders show and tell the story in all its glory, From the first regular season win through the momentous victory over the Denver Broncos. It's the ultimate collectible for fans who will forever relive the greatest season in the Seahawks' history.
High-quality photographs
Officially licensed NFL product

> 5 in (VG) Very Good condition for $20 each
> 2 in (G) Good condition for $15 each
> 1 in Acceptable condition for $10 


********* PLEASE CONTACT US IF YOU HAVE ANY FURTHER QUESTIONS @  show contact info
 OR EMAIL",new,Sports & Outdoors,
*****MICHAEL JACKSON THE MAN IN THE MIRROR BOOK *******,20,"*****MICHAEL JACKSON THE MAN IN THE MIRROR BOOK *******
>GOOD CONDITION
>HARDBACK BOOK
>PAGES ARE NOT RIPPED OR CREASED AND NO MARKS IN BOOK

PAID $30 ASKING $20 OBO

*********** PLEASE CONTACT US IF YOU HAVE ANY FURTHER QUESTIONS @  show contact info
 OR EMAIL US",like new,Biographies & Memoirs,
Time Life Books - Foods of the World,40,"Time Life Books: Foods of the World cook books. A complete set of 27 books and their corresponding book with recipes for that region. the collection consists of 8 books covering the regions of American cooking, the Caribbean islands, Latin America, Africa, the Pacific and Southeast Asia, Japan, China, India, Middle Eastern cooking, France, British Isles, Vienna's Empire, Italy, Germany, Spain and Portugal, Scandinavia, Russia, a Quintet of cuisines of North Africa, Switzerland, Netherlands, Belgium, Poland Bulgaria and Romania, and Wines and spirits.  

Cash only",good,"Cookbooks, Food & Wine",
Bon Jovi Guitar Music and Tab,20,"Bon Jovi , CRUSH , GUITAR ANTHOLOGY SERIES , music and Tab .",excellent,"Arts, Crafts & Photography",
Essentials of Metereology,3,"Essentials of Metereology an Invitation to the Atmosphere, sixth edition.  Book is in acceptable condition as binding has come loose and there are highlighting/markings.",fair,Education & Teaching,
Christopher Columbus 1596 Discoveries of the New World,9500,"Discoveries of the Columbus voyage to the West Indies ... all three parts, 188 pages, illustrated and beautifully rebound by Henry Cunliffe (1826 - 1894).

London, Printed by E. Alide, by the assigned of Bonham Norton, 1596. 

English translation of the 1571 Spanish treatises by Nicolas Monardes (one of the most distinguished Spanish physicians of his time). A botanical dictionary of 71 samples and book of wonders aimed at creating an incentive for putting to use these commodities for practical medical/pharmaceutical uses.",excellent,Biographies & Memoirs,
First Steps in Music Theory,10,First Steps in Music Theory by Eric Taylor in excellent condition with no markings.,excellent,"Arts, Crafts & Photography",
Sequential Spelling Book 1,8,Sequential Spelling Book 1 never used in perfect condition with no markings.,like new,Education & Teaching,
Chilton's Import Car repair manual 1993-1997,5,Complete Chilton's import Car repair 1993-1997 manual. Pick up only.,excellent,Engineering & Transportation,
Roy Rogers Comic,15,"Dell Comics Roy Rogers , Vol 1 , # 82 , October 1954 , The Vanished Ore .",good,Children's Books,
STOP PANDEMIC IN 7 DAYS,7,"I have been fruitlessly challenging the status quo on this issue since 01.28.2020. Congress, white house, governors, news, networks, ministry heads, etc., etc.- nobody cares. So, I put it in the book. Time has come to open your ears!

1. What I thought was allergy, happened to be something else and I found how to handle it.
2. My miraculous discovery of a cure for common cold through quick and simple self recovery.
3. Surprising definition of diseases, their causes, why they are happening and their purpose.
4. New philosophy of life, medicine, religions, karma. Is there a purpose to life.
5. How everything is inter and cross connected - our behavior, intentions, words.
6. Worldwide Open Call to Action - Challenge, Battle of the Doctors.
7. Let's try to stop this pandemic in one week worldwide with this simple trick of nature..



A.

https://www.amazon.com/MY-MIRACULOUS-CURE-RELIGION-PHILOSOPHY/dp/B09M2XQCDD/ref=sr_1_1?keywords=stop+pandemic+in+7+days&qid=1637518942&qsid=131-2053766-4108135&sr=8-1&sres=B09MBSK99P%2C show contact info
%2C1510729313%2C1623157803%2CB000OCXIRG%2C0762497696%2CB07F152VC9%2C show contact info
%2CB073XXYKLP%2C1546033254%2CB08MZ28FBW%2CB00UFO4VMY%2C0399185046%2C052557977X%2CB000SEHIB2%2CB08VBS435Z


B.

https://www.amazon.com/dp/B09MBSK99P/ref=sr_1_1?keywords=stop+pandemic+in+7+days&qid=1637518942&qsid=131-2053766-4108135&sr=8-1&sres=B09MBSK99P%2C show contact info
%2C1510729313%2C1623157803%2CB000OCXIRG%2C0762497696%2CB07F152VC9%2C show contact info
%2CB073XXYKLP%2C1546033254%2CB08MZ28FBW%2CB00UFO4VMY%2C0399185046%2C052557977X%2CB000SEHIB2%2CB08VBS435Z",new,Education & Teaching,
Cat Stevens Greatest Hits,20,"Cat Stevens Greatest hits , 1992 , music and tab , and double songbook , 1971 , Mona Bone Jakon , Tea for the Tillerman .",good,"Arts, Crafts & Photography",
Downbeat Magazines,25,"1977 , Jan 13 , 27 , March 24 , May 19, June 2 , 5 issues total .",excellent,Fiction,
Mercer Education COGAT Challenge Program Test Prep,45,"Mercer Education COGAT Challenge Program Test Prep and sample tests.

Grade 1 : $50 (2 books)
Grade 4 : $50 (2 books)

Some have writing in pencil. Bubble sheets for 3rd grade are clean. Will also include some bonus material we acquired from other sources. If ad is up , it is still available.",good,Education & Teaching,
Thousands of books in multiple genres at Poulsbo Mercantile.,0,"Please check out the photos.  They are from 11/18/21 and give you a good idea of what you might find if you like to read or collect books.

There is a great quilting selection right in front of records on the left.  They range in price from $5 to $15 with original prices of over $30 each.  BUY 2 GET 1 FREE!

There are many new paperbacks from 2020 and 2021 in the turn around displays.  Lots of coffee tables books and non-fiction.

Multiple vendors and really great books.  I may be biased but that is what I hear over and over.  Happy people!

Open every day and across from the McDonalds in Poulsbo on Viking Ave.",excellent,Fiction,
1985 Honda Prelude Shop Service Repair Manual,20,"Published by the factory to provide information on diagnosis, service procedures, adjustments & specs, there is none better. Loaded with diagrams & illustrations to help disassemble, repair & reassemble various components.",good,Engineering & Transportation,
Hard Cover book Annie LIEBOWITZ: Photographs Portfolio 1970-1990,160,"Annie Liebowitz is a wonderful photographer and this book does her justice!  It's a wonderful coffee table book, but more importantly, it is a wonderful glimpse into the world of this fantastic person.
  This book chronicles Annie's wonderful work from 1970-1980, with some of her most provoking photographs.  Her depth of looking into the world and people is breathtaking!  The book is in pristine condition...  
    There is a significant difference in price between paperback copies and this hard copy book.  It has 200 color and black and white photos in her earlier years of her artistry. Published by Harpercollins (1992)   The purchase price was $322.",like new,"Arts, Crafts & Photography",
1962 Hanna Barbera Touche Turtle Hardcover Book 1st edition,7,"Vintage 1962 Hanna Barbera Touche Turtle Hardcover Book 1st edition 
By Carl Memling Author, Bill White, al / McGary, Norm / Lorencz Illustrator 
A Little Golden Book ""A"" Edition. Touche Turtle and friends.
1st edition
Collectible children’s book
From the television cartoon show
Nonsmoking no pet home
$ 7 firm",excellent,Children's Books,
Charlie and the Chocolate Factory,20,"Roald Dahl's Charlie and the Chocolate Factory hardback book , 1973 book club edition with dust jacket .",excellent,Fiction,
1917 Text Book of Naval Aeronautics by Henry Woodhouse,50,"Original Text Book of Naval Aeronautics by Henry Woodhouse. Published in 1917 by The Century Co, New York. Excellent condition.",new,Education & Teaching,
"Auto, Truck, Car, Motorcycle Books",5,"I can also ship, but you would need to pay the shipping cost - I accept payments thru paypal

this is a landline phone, so please leave your phone number

Buy them all for 40.00 or individually as priced below:

Chilton's Ford Courier 1972 - 1978  --- 5.00
Osprey Classic Marques Tri-Chevy Legend  --- 10.00
America's Best Harley Davidson Customs --- 8.00",excellent,Education & Teaching,
Raggedy Ann & Andy Book,5,"Raggedy Ann & Andy An Adaptation of the Animated Film - Raggedy Ann & Andy - A Musical Adventure Book
this is in great condition

this is a landline phone, please leave your phone number in the message",excellent,Children's Books,
Ripley's Believe It or Not! Souvenir Guidebook,2,"Ripley's Believe It or Not! Souvenir Guidebook
in excellent condition

this is a landline phone, please leave your phone number in the message
I can also ship, but you would need to pay the shipping cost - I accept payments thru paypal",like new,Humor & Entertainment,
Variety of Product Cookbooks,0,"Variety of product type cookbooks from a clean and smoke free home

$5 each or all 4 for $15

I have many cookbooks in other listings.  Discounts if purchasing more than 1 book

1)Vintage Whirlpool Micro Menus Cookbook
Meredith Corporation 1983
264 pages, hardback
10"" x 8"" x 3/4""
Like new

2)A Decade of Cooking the Costco Way
2011
240 pages, paperback 
9 3/4"" x 8"" x 1/2""
Like new

3)Blendtec Home Recipe Book
2006 K-Tec, Inc.
244 pages, spiral bound
8 1/2"" x 9"" x 3/4""
Like new

4)New Recipes for the Cuisinart
Vintage 1978  by James Beard and Carl Jerome
92 pages, spiral bound
8 1/4"" x 6"" x 1/4""
Like new",like new,"Cookbooks, Food & Wine",
Variety of Cookbooks,0,"Individually priced or all 4 for $25

I also have other cookbooks in other listings-discounts for multiple purchases

1)Star-Spangled Cooking-A Food Lover's Tour of America  $12
1987 Chateau Ste. Michelle, 253 pages
Hardback 10 x 10 x1
Book cover
Like new
Great coffee table or display book

2)Tastes of Liberty-A Celebration of our Great Ethnic Cooking  $12
1985 Chateau Ste. Michelle, 256 pages
Hardback 10 x 10 x1
Book cover
Like new
Great coffee table or display book

3)Le Cordon Bleu-Home Collection Summer  $7-SOLD
1998, 64 pages
Hardback w/book cover
8 1/2"" x 10"" x 3/8""
Book cover is slightly dog earred but book itself is like new

4)Lidia's Italian-American Table  $3
2000, 60 pages
7 1/2"" x 9 1/2"", paperback
Like new

5)Seasonal Favorites from the Herbfarm  $3
Accordion style book with printing on both sides
Sasquatch books
4 1/2"" x 6 5/8""
Corners show mild wear",excellent,"Cookbooks, Food & Wine",
Prentice-Hall Federal Tax Course Manuals,10,"Prentice-Hall Federal Tax Course Manuals, 1975 to 1984, 10 manuals. 

Like New - never used.
If interested, call Chuck at  show contact info
.
No emails or text messages. Phone calls only.",good,Education & Teaching,
Vintage 1946 Writers Guide and Index to English book,5,"Was my father's , studied for college in Iowa",good,History,
Allergy cookbooks,2,All for $8 or $2 each,like new,"Cookbooks, Food & Wine",
Vintage Nat'l parks book & video tape & Coastal kyakers,6,$3 each or all for $6,good,"Arts, Crafts & Photography",
Vintage Garden Books,2,"Buy all for $5 or $2 each individually 
Indoor Gardeners Companion 1978
The Experts Book of Garden Hints 1993
The Edible Container Garden 2000",good,"Arts, Crafts & Photography",
Value Tales set price reduced,30,"Moral Lessons Vintage Hardcover Homeschool  Books (19) 

Learning -Marie Curie
Dedication -Albert Schweitzer
Patience-Wright Brothers
Saving-Benjamin Franklin
Foresight-Thomas Jefferson
Giving-Beethoven
Fairness- Nellie Bly
Caring- Eleanor Roosevelt
Adventure-Sacagawea
Truth and Trust- Cochise
Believing in Yourself- Louis Pasteur
Respect-Abraham Lincoln
Responsibility-Ralph Bunch
Curiosity-Christopher Colombus
Honesty-Confucius
Helping-Harriet Tubman
Understanding-Margaret Mead
Imagination-Charles Dickens
Fantasy-Hans Christian Anderson
$30 for all 19",excellent,Education & Teaching,
Movietone News. Seattle Film Society Newsletter 1971-1981. ALL issues.,800,"Movietone News. Seattle Film Society Newsletter 1971-1981. ALL issues.  $800.
Movietone News began as a newsletter from The Seattle Film Society in 1971 and grew into a vibrant little film magazine that published out of Seattle, under the editorial guidance of Richard T. Jameson, through 1981. 
Wonderful film reviews/criticism from the leaders of the 1970's Seattle film scene. Richard Jameson, Kathleen Murphy, R.C. Dale, Peter Houge. Robert Cumbow and many more.
Complete set of all issues from #1, March 1971 to #66-67, March 1981. 
62 newsletters. The last 5 were double issues.
Personal collection of an early member of the Seattle Film Society.

Ted Bellevue",excellent,Education & Teaching,
Harry Potter hard bound books,30,"These are the first 5 Harry Potter books in hard bound copy. Like New condition no rips or tears and very light use. Moving and do not want to move them. My kids enjoyed the series, however we never purchase the last two chapters of the saga. The photos make the book covers yellow tinted, however they are not. This is a great gift, and these books sell for over 10.00 each in the half price book stores when in this condition.",like new,Fiction,
Vehicle Car Truck Owners Glove Box Manuals Guides. Will Mail.,5,"Vehicle Car Truck Owners Glove Box Manuals Guides. As Listed and Pictured.   $5 each. 
Will mail the manuals for $5+, depending on number.  30% off for all includes USA shipping.

1959 American Rambler
1970 Buick
1966 Buick
1964 Pontiac
1970 Dodge Polara
1970 Cadillac
1960 American Rambler
1959 Chevrolet Truck
1977 Chevrolet light duty gas truck
1978  Chevrolet Malibu
1982 Chevrolet Monte Carlo
1986 Chevrolet Nova
1975 General Motors Complete line sales brochure
1983 Chevrolet Camaro
1983 Chevrolet Celebrity
1975 Chevrolet Light duty gas truck.
1995? Mercedes Benz. E series. 200 220 280 320 300 250.
1998 Acura Legend Coupe.
1968? Toyota Corolla 1100.
2003 Honda Pilot.
2001 Chevrolet Blazer.
2001 Dodge Caravan,
1999 Chevrolet Astro.
2006 Mazda 5.

Ted Bellevue",good,Education & Teaching,
US Military Unit histories. 32nd Div. WW 1. 1067th NCBD WW 2,80,"US Military Unit histories. 32nd Div. WW 1. 1067th NCBD WW 2.

The 32nd Division in the World War 1917-1919. 1920. Michigan and Wisconsin Joint. War History Commission.
317 pages. Clean. Good binding. Some cover hinge weakness. 11x8"". $20.

The 1067th Naval Construction Battalion Detachment. 1944-1945. 1946. Army and Navy Pictorial Publishers. VERY RARE.
103 pages. Clean and tight. 12x9"". Lots of pictures.  $80.

Ted Bellevue",excellent,History,
Dolphin Children’s Books,10,"Four Dolphin Children’s Books (Dolphin Diaries + Dolphin School). Buy as a bundle for $10. Comes from a smoke and pet free home. Cash only, price firm.",excellent,Children's Books,
